Data,Juros,Cam,ADM,Livres,Tend,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov
1/9/1994,0.001962,-0.03,-0.16,1.81,1,0,0,0,0,0,0,0,0,1,0,0
1/10/1994,-1.264789,-0.02,-0.72,3.15,2,0,0,0,0,0,0,0,0,0,1,0
1/11/1994,0.249741,0,-0.79,3.36,3,0,0,0,0,0,0,0,0,0,0,1
1/12/1994,0.813917,0.01,0.04,1.96,4,0,0,0,0,0,0,0,0,0,0,0
1/1/1995,-0.397657,0,-0.25,1.98,5,1,0,0,0,0,0,0,0,0,0,0
1/2/1995,0.55515,-0.01,0.48,1.1,6,0,1,0,0,0,0,0,0,0,0,0
1/3/1995,0.449621,0.05,0.36,1.72,7,0,0,1,0,0,0,0,0,0,0,0
1/4/1995,-0.865289,0.02,0.28,2.73,8,0,0,0,1,0,0,0,0,0,0,0
1/5/1995,-0.240895,-0.01,0.3,2.99,9,0,0,0,0,1,0,0,0,0,0,0
1/6/1995,0.200542,0.02,5.86,1.78,10,0,0,0,0,0,1,0,0,0,0,0
1/7/1995,-0.11365,0.01,5.55,1.92,11,0,0,0,0,0,0,1,0,0,0,0
1/8/1995,1.177943,0.01,1.29,0.95,12,0,0,0,0,0,0,0,1,0,0,0
1/9/1995,-0.496009,0.01,1.42,0.93,13,0,0,0,0,0,0,0,0,1,0,0
1/10/1995,-0.638512,0.01,3.18,1.16,14,0,0,0,0,0,0,0,0,0,1,0
1/11/1995,-0.268922,0,2.46,1.33,15,0,0,0,0,0,0,0,0,0,0,1
1/12/1995,-0.184021,0,4.4,1.14,16,0,0,0,0,0,0,0,0,0,0,0
1/1/1996,0.021269,0.01,0.6,1.45,17,1,0,0,0,0,0,0,0,0,0,0
1/2/1996,0.086787,0.01,4.23,0.55,18,0,1,0,0,0,0,0,0,0,0,0
1/3/1996,0.549122,0.01,0.25,0.37,19,0,0,1,0,0,0,0,0,0,0,0
1/4/1996,-1.04679,0,3.87,0.85,20,0,0,0,1,0,0,0,0,0,0,0
1/5/1996,-0.014676,0.01,0.44,1.35,21,0,0,0,0,1,0,0,0,0,0,0
1/6/1996,-0.005137,0.01,3.02,0.9,22,0,0,0,0,0,1,0,0,0,0,0
1/7/1996,0.031319,0.01,2.58,0.87,23,0,0,0,0,0,0,1,0,0,0,0
1/8/1996,0.705922,0.01,1.25,0.31,24,0,0,0,0,0,0,0,1,0,0,0
1/9/1996,0.226756,0.01,0.24,0.13,25,0,0,0,0,0,0,0,0,1,0,0
1/10/1996,-0.194067,0.01,0.19,0.32,26,0,0,0,0,0,0,0,0,0,1,0
1/11/1996,-0.073272,0.01,0.53,0.28,27,0,0,0,0,0,0,0,0,0,0,1
1/12/1996,-0.14926,0.01,1.49,0.3,28,0,0,0,0,0,0,0,0,0,0,0
1/1/1997,-0.772437,0.01,3.01,0.87,29,1,0,0,0,0,0,0,0,0,0,0
1/2/1997,0.617811,0.01,0.26,0.54,30,0,1,0,0,0,0,0,0,0,0,0
1/3/1997,-0.040206,0.01,0.62,0.49,31,0,0,1,0,0,0,0,0,0,0,0
1/4/1997,-0.349119,0,4.27,0.29,32,0,0,0,1,0,0,0,0,0,0,0
1/5/1997,0.393789,0.01,1.66,0.18,33,0,0,0,0,1,0,0,0,0,0,0
1/6/1997,-0.107315,0.01,2.97,0.1,34,0,0,0,0,0,1,0,0,0,0,0
1/7/1997,0.316346,0.01,0.97,0.08,35,0,0,0,0,0,0,1,0,0,0,0
1/8/1997,0.2223,0.01,0.59,-0.14,0,0,0,0,0,0,0,0,1,0,0,0
1/9/1997,-0.075599,0.01,0.3,0.01,0,0,0,0,0,0,0,0,0,1,0,0
1/10/1997,-0.088434,0.01,0.05,0.27,0,0,0,0,0,0,0,0,0,0,1,0
1/11/1997,1.408746,0.01,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1
