ano,periodo,vtotal,areatotal,tempano,precano,munic
1990,0,1264258.845,1388970,22.8626493,1316.340737,3500105
1991,0,737239.9082,1235817,23.21814093,1414.517344,3500105
1992,0,1381728.03,1059597,22.73151711,1389.987868,3500105
1993,0,1547278.853,941193,23.19672431,1319.847774,3500105
1994,0,1383899.674,991584,23.60301386,1160.328301,3500105
1995,0,1632009.413,972081,23.55167436,1492.403992,3500105
1996,0,1910847.544,1063953,23.02875219,1152.816758,3500105
1997,0,1843234.697,1081377,23.31528671,1567.560276,3500105
1998,0,1812944.284,1046529,23.19374713,1389.116572,3500105
1999,0,2051107.492,1094841,23.47183487,980.518653,3500105
2000,0,1326583.734,969804,23.27866088,1268.023185,3500105
2001,0,2484606.325,1234827,23.63068498,1290.845201,3500105
2002,0,3081434.669,1445895,24.46876714,1026.956924,3500105
2003,0,2546356.201,1342341,23.49745261,1180.719235,3500105
2004,0,2503896.467,1463121,23.04267386,1224.749955,3500105
2005,0,2861892,1419561,23.41363712,1247.012245,3500105
2006,1,3008258.857,1273536,23.80656157,1511.014591,3500105
2007,1,3909081.094,1403127,24.15558316,1282.302306,3500105
2008,1,3452473.915,1560042,23.34564044,1083.705145,3500105
2009,1,3702484.254,1592217,23.35702565,1940.94644,3500105
2010,1,3326064.896,1571823,23.09774632,1312.794851,3500105
2011,1,3284135.66,1525095,22.95208962,1130.961296,3500105
2012,1,3603019.613,1514700,23.34241862,1269.673176,3500105
2013,1,3572662.424,1501038,22.53908954,1277.421879,3500105
2014,1,2756874.72,1415898,23.16971218,1117.643983,3500105
1990,0,1042861.16,607860,23.0372566,1314.680396,3500204
1991,0,970738.5599,561330,22.99643538,1568.345787,3500204
1992,0,1671605.489,738936,23.07253435,1494.948162,3500204
1993,0,1784159.333,518859,23.35126229,1124.035634,3500204
1994,0,2412145.109,828729,23.92918825,1295.441624,3500204
1995,0,1035302.852,606870,23.72833386,1574.835801,3500204
1996,0,950784.9263,552717,23.13837307,1099.646845,3500204
1997,0,729897.9304,511038,23.66872378,1577.121396,3500204
1998,0,1052641.372,605088,23.7017489,1677.002749,3500204
1999,0,1157952.854,611919,23.61001348,1566.55519,3500204
2000,0,828805.3603,498762,23.62396701,1397.340276,3500204
2001,0,3788505.283,1372536,23.82129777,1207.611874,3500204
2002,0,2011975.182,496188,24.65429126,1222.910036,3500204
2003,0,1955134.533,665280,23.65800518,1290.462268,3500204
2004,0,2685254.08,714681,23.39250562,1286.806977,3500204
2005,0,2385900,697752,23.98475397,1096.027627,3500204
2006,1,3211426.91,657360,23.70252886,1366.057817,3500204
2007,1,3089130.568,914265,24.26693572,1376.664741,3500204
2008,1,3530094.653,981387,23.37518365,1164.033497,3500204
2009,1,2865520.837,863775,23.04880875,1601.833843,3500204
2010,1,4999252.932,898128,23.44872216,1006.424936,3500204
2011,1,5397155.998,897138,22.82520309,1557.595681,3500204
2012,1,2640891.949,871299,23.54583796,1118.170398,3500204
2013,1,2816235.011,840411,22.52296287,1284.188751,3500204
2014,1,2667752.044,947331,23.71106878,988.1852334,3500204
1990,0,1807263.747,1722402,20.60188916,1268.796682,3500303
1991,0,1940768.015,1795266,20.58213072,1470.662147,3500303
1992,0,3561856.609,1611522,19.31815785,1414.254685,3500303
1993,0,4577289.245,1621719,19.31802428,1401.791542,3500303
1994,0,5146674.832,1725570,19.40562895,999.828982,3500303
1995,0,3138848.196,1663893,20.05809017,1408.001944,3500303
1996,0,3483059.36,2064843,19.47709055,1499.785112,3500303
1997,0,2422748.343,1336203,20.40661476,1072.29563,3500303
1998,0,3969975.394,1830015,20.03987442,1361.642523,3500303
1999,0,3327955.864,1860111,19.64346892,1575.162217,3500303
2000,0,5954116.737,2830509,20.59607887,1672.011263,3500303
2001,0,14232929.12,1748637,19.9514181,1206.927726,3500303
2002,0,8483647.87,2809026,20.50960263,1094.937219,3500303
2003,0,8152268.47,3230370,20.06985413,953.2849059,3500303
2004,0,21360531.97,3617856,19.59214199,1496.962441,3500303
2005,0,15478353,3597858,19.93218223,1406.851744,3500303
2006,1,24533735.09,3739824,19.92108211,1210.694604,3500303
2007,1,36533421.12,3791700,20.49535794,1309.071088,3500303
2008,1,21019052.44,3700125,19.84204729,1332.50365,3500303
2009,1,9445562.231,4082265,20.17088233,1837.531694,3500303
2010,1,14893499.62,3021975,20.07854843,1136.465164,3500303
2011,1,16025956.07,3295215,19.89221393,1587.884076,3500303
2012,1,11024623.13,3349269,19.80811398,1321.077623,3500303
2013,1,10469463.4,3270465,19.30754059,1234.544704,3500303
2014,1,9425233.582,3320955,20.32080517,874.8972307,3500303
1990,0,460926.2439,198792,19.24966875,1466.055552,3500402
1991,0,538991.9862,250272,20.30952325,1806.668613,3500402
1992,0,560123.0923,245817,18.41983805,1646.705227,3500402
1993,0,826741.4296,236214,18.54406481,1460.451609,3500402
1994,0,1221831.851,207405,18.66692681,1422.305519,3500402
1995,0,1009150.775,197901,19.29269331,1811.239246,3500402
1996,0,466560.8148,203049,18.55815535,1757.2503,3500402
1997,0,545656.6379,177804,19.72966203,1742.385933,3500402
1998,0,660786.8241,183645,19.0713906,1399.621709,3500402
1999,0,661276.4161,190080,18.58213924,1356.96522,3500402
2000,0,713899.8201,197010,20.02903531,1812.152583,3500402
2001,0,697468.176,144342,18.8766725,1376.96329,3500402
2002,0,618501.4597,182160,19.29042288,1372.241861,3500402
2003,0,499982.0564,176022,19.09212005,1334.923364,3500402
2004,0,500922.2353,176814,18.71773139,1602.24288,3500402
2005,0,670527,181170,18.78661803,1507.959272,3500402
2006,1,670136.5015,181170,18.78178919,1468.192652,3500402
2007,1,563833.9762,172260,19.48201407,1527.223755,3500402
2008,1,472159.3095,169587,18.82260263,1449.700567,3500402
2009,1,396537.4727,188100,19.24290145,2150.690893,3500402
2010,1,154379.5608,184140,19.03163412,1257.887132,3500402
2011,1,811131.77,184635,18.88239081,1635.321699,3500402
2012,1,709871.5725,185130,19.02393655,1518.096776,3500402
2013,1,510222.2522,264231,18.80557213,1836.539136,3500402
2014,1,420156.8737,179487,19.481947,1199.947365,3500402
1990,0,97734.42108,139887,18.35172622,1283.941719,3500501
1991,0,114168.5641,142263,19.76755378,1849.764513,3500501
1992,0,206922.0637,129294,18.76857824,1475.104401,3500501
1993,0,225090.0587,118404,18.90707772,1542.840423,3500501
1994,0,195532.0079,67122,19.03103803,1429.090292,3500501
1995,0,230777.1109,66627,19.4342617,2017.577983,3500501
1996,0,211067.4738,67419,18.79461753,2038.531424,3500501
1997,0,229603.1094,69696,19.90941477,1593.580867,3500501
1998,0,140914.7806,72567,19.30761858,1653.709771,3500501
1999,0,173868.7145,72765,18.73406142,1712.6316,3500501
2000,0,145634.3982,59004,19.5641806,1658.323064,3500501
2001,0,146215.5823,55341,19.28390448,1435.986244,3500501
2002,0,136562.438,58212,19.70831258,1549.174778,3500501
2003,0,137960.9015,57420,19.25987573,1293.277567,3500501
2004,0,138028.3313,57123,18.75528509,1630.506342,3500501
2005,0,168597,58905,19.17159994,1600.283263,3500501
2006,1,158339.8764,65736,19.13980331,1463.432688,3500501
2007,1,298458.0359,65043,19.71978159,1416.680957,3500501
2008,1,153471.8846,64251,19.01513504,1643.281965,3500501
2009,1,204910.7207,64944,19.52302719,1975.196225,3500501
2010,1,253232.1617,64944,19.34995587,1359.842189,3500501
2011,1,270766.8492,60984,19.13136178,1603.712739,3500501
2012,1,201002.2398,60984,19.57489217,1774.959076,3500501
2013,1,152086.4924,60984,19.21456449,1869.927007,3500501
2014,1,181035.1054,60984,19.93369176,863.9119801,3500501
1990,0,,0,20.71647637,1303.436471,3500600
1991,0,,0,20.56370146,1660.095367,3500600
1992,0,,0,20.68382377,1377.377364,3500600
1993,0,,0,20.22046838,1327.683769,3500600
1994,0,,0,20.3627473,1261.331824,3500600
1995,0,,0,20.74203815,1734.041864,3500600
1996,0,,0,20.26404579,1426.54813,3500600
1997,0,,0,20.66569876,1280.666021,3500600
1998,0,,0,20.94965594,1260.057689,3500600
1999,0,,0,20.73298677,1326.466543,3500600
2000,0,,0,20.74457085,1465.109943,3500600
2001,0,,0,20.9597792,1348.631682,3500600
2002,0,,0,21.45551554,1422.097299,3500600
2003,0,,0,20.94890653,1382.099202,3500600
2004,0,,0,20.08480386,1663.419001,3500600
2005,0,,0,20.75576693,1290.448513,3500600
2006,1,,0,20.78001591,1376.685652,3500600
2007,1,,0,21.10150188,1484.048137,3500600
2008,1,,0,20.58795072,1268.86129,3500600
2009,1,,0,20.86294879,1524.249107,3500600
2010,1,,1,20.93665731,1353.684239,3500600
2011,1,,0,20.98499971,1725.293034,3500600
2012,1,,1,21.32078009,1543.876406,3500600
2013,1,,0,20.66372545,1440.033588,3500600
2014,1,,0,21.91450382,1106.676208,3500600
1990,0,616553.9981,739332,21.62664183,1370.298732,3500709
1991,0,648519.1349,737352,21.84148963,1426.632761,3500709
1992,0,1936066.568,980397,21.95262217,1352.549721,3500709
1993,0,880545.1936,887535,21.69315068,1548.561867,3500709
1994,0,1640328.715,862686,22.06993802,1104.745209,3500709
1995,0,2332925.016,1133253,21.90089182,1269.206859,3500709
1996,0,2732280.045,1123452,21.52026628,1083.709782,3500709
1997,0,2944737.946,1621026,21.81059217,1534.618048,3500709
1998,0,2058948.054,1279872,21.99264313,1438.226259,3500709
1999,0,1989422.451,1248885,22.14402831,1158.205214,3500709
2000,0,2036405.79,1225125,21.24503642,1410.976438,3500709
2001,0,2669989.159,1164042,21.07746857,1260.548321,3500709
2002,0,2519526.652,1102563,21.78970424,1166.04677,3500709
2003,0,2557646.414,1232748,21.53816708,1227.889517,3500709
2004,0,1653213.12,808236,20.3684005,1362.609623,3500709
2005,0,1977030,908820,20.94203382,1295.931177,3500709
2006,1,4864602.569,1304820,20.8803285,1002.247689,3500709
2007,1,4108023.152,1387980,21.32982934,1315.7479,3500709
