rural,declarante,boasaude,lnrnd,escolar,fem,idade,cp,empr
0,1,1,2.186884952,4,0,60,1,0
0,0,1,1.901222441,7,0,31,0,0
0,0,0,3.39085309,15,0,64,0,1
0,1,1,2.697707909,11,1,61,0,0
0,1,1,1.505791419,15,1,54,0,0
0,1,1,0.800650589,5,1,52,0,0
0,1,0,1.17529404,4,0,47,1,0
0,0,0,1.558282126,4,0,74,0,0
0,1,1,2.656885248,14,0,40,1,0
0,1,1,2.610842339,15,0,30,0,0
0,1,1,1.499785467,10,0,61,1,0
0,1,1,1.462971946,8,1,41,0,0
0,0,1,3.573173758,15,0,35,0,0
0,1,1,4.26632066,15,0,50,0,0
0,1,1,4.08399927,15,0,36,0,0
0,1,1,3.860857219,15,1,37,0,1
0,0,1,3.860855719,15,0,48,0,0
0,1,1,2.793018634,15,1,46,0,0
0,1,1,1.424752519,14,0,20,0,0
0,0,1,2.474570358,15,1,34,0,0
0,0,1,2.985387981,15,0,49,0,1
0,1,1,2.76224743,15,1,47,0,0
0,0,1,2.369205398,11,0,51,0,0
0,0,1,0.076715084,8,0,17,0,0
0,0,1,0.952154655,9,0,16,0,0
0,0,1,3.321861075,11,0,60,0,0
0,1,1,2.004563395,8,0,37,1,0
0,0,1,2.656888581,15,1,35,1,0
0,0,1,2.320413011,11,0,48,1,0
0,1,1,-9.626151772,8,1,48,0,0
0,1,1,3.29554291,11,0,45,0,0
0,0,1,2.697707909,15,0,52,0,0
0,0,1,1.499797515,11,0,18,0,0
0,1,1,1.818251246,11,1,48,0,0
0,0,1,2.880028799,15,0,50,0,0
0,1,1,2.880028799,13,1,43,0,0
0,0,1,3.208531533,11,0,39,0,0
0,1,1,1.493742216,8,1,35,1,0
0,0,1,2.602397729,11,0,49,0,0
0,0,1,1.676063773,15,1,28,0,0
0,0,1,1.462971946,11,0,23,0,0
0,0,1,3.504182632,15,0,39,0,0
0,1,1,2.697707909,14,1,39,0,0
0,0,1,2.880028799,15,0,39,1,0
0,0,1,2.369205398,11,1,48,0,0
0,1,1,2.474566608,11,1,52,0,0
0,1,1,1.686112997,11,0,25,0,0
0,0,1,1.462971946,11,1,24,0,0
0,1,1,1.78142151,8,0,55,1,0
0,1,1,1.909254549,4,1,50,0,0
0,0,1,2.273895218,4,0,51,0,0
0,0,1,1.509491962,11,1,22,0,0
0,0,1,1.329442339,11,1,18,0,0
0,1,1,1.963743067,4,0,50,1,0
0,1,1,1.963743067,8,1,50,0,0
0,1,1,1.868432887,4,0,50,0,0
0,0,1,0.992975817,8,1,43,0,0
0,1,1,1.424752519,11,1,24,1,0
0,0,1,1.329442339,11,0,22,0,0
0,0,1,1.523595833,11,1,28,0,0
0,0,0,1.375960569,8,0,41,0,0
0,0,1,1.558282126,11,0,21,0,0
0,1,1,2.292243801,11,0,29,0,0
0,0,1,1.493744438,4,1,53,0,0
0,1,1,2.117892557,10,0,27,0,0
0,1,1,1.580753593,10,1,22,0,0
0,0,1,1.329442339,11,1,40,0,0
0,0,1,1.461339657,8,0,39,0,0
0,1,1,1.216115368,7,1,41,0,0
0,0,1,1.462971946,4,0,51,0,0
0,0,1,1.462971946,4,0,35,0,0
0,1,1,1.466717653,4,1,44,0,0
0,0,1,1.462971946,4,0,43,0,0
0,0,1,1.17529404,11,0,19,0,0
0,0,1,1.189642587,10,1,17,0,0
0,0,1,0.901960515,4,1,44,0,0
0,0,1,1.398434258,10,0,26,0,0
0,0,1,1.047464835,4,1,52,0,0
0,1,1,0.934181981,11,1,29,0,0
0,0,1,1.578482333,8,0,33,0,0
0,0,1,1.088282663,8,1,45,0,0
0,0,1,0.75181376,11,1,24,0,0
0,0,0,1.152821184,5,0,54,0,0
0,1,1,2.129725754,7,0,34,0,0
0,1,0,1.335151074,5,1,32,0,0
0,1,1,1.868432887,9,0,30,0,0
0,1,1,0.90596444,11,1,24,0,0
0,1,1,1.62593762,11,0,33,0,0
0,1,1,2.069102392,11,1,31,0,0
0,1,0,0.90596444,0,1,60,0,0
0,0,1,1.17529404,4,0,39,0,0
0,1,1,1.047464835,4,1,35,0,0
0,1,1,1.27060422,3,0,39,0,0
0,1,0,1.686112997,11,0,40,0,0
0,1,1,1.088282663,14,1,26,0,0
0,1,0,0.599441018,6,0,44,0,0
0,0,1,1.443616063,8,0,34,0,0
0,1,1,0.800650589,8,1,22,1,0
0,0,1,2.004561728,4,0,37,1,0
0,1,1,0.750673132,4,1,30,0,0
0,1,1,1.358305856,9,0,52,0,0
0,0,1,3.524383482,15,1,38,0,0
0,1,1,2.312047311,14,1,39,0,0
0,0,1,2.251421806,15,0,45,0,1
0,1,1,1.558294626,11,1,41,0,0
0,1,1,1.424766804,7,1,45,0,0
0,0,0,1.242430962,3,0,60,0,0
0,1,1,-0.638854956,4,0,16,0,0
0,1,1,2.06910525,11,0,41,0,0
0,0,1,2.400460078,15,1,47,0,0
0,0,1,1.963743067,15,1,25,0,0
0,0,1,1.781423177,15,1,54,0,0
0,0,1,2.474563691,11,0,57,1,0
0,0,1,3.167710038,15,0,35,1,0
0,1,1,-9.038365107,15,1,33,0,0
0,1,1,1.193646512,11,1,27,0,0
0,1,1,1.686112997,11,0,31,1,0
0,0,1,1.047460669,11,0,20,0,0
0,1,1,1.311422881,10,0,40,0,0
0,1,1,0.982927703,2,1,37,0,0
0,1,1,1.963743067,11,0,55,0,0
0,1,1,2.186884952,11,1,55,0,0
0,0,1,0.960455352,15,0,27,0,0
0,1,1,2.474563691,15,0,30,0,0
0,0,1,2.223253072,11,0,36,0,0
0,1,1,1.740599516,9,0,59,1,0
0,0,1,1.106298788,10,0,34,0,0
0,0,1,2.697707909,15,1,31,0,0
0,1,1,1.009244434,11,1,28,0,0
0,0,1,1.712434591,11,1,26,0,0
0,1,0,1.090100676,9,0,33,0,0
0,0,1,1.242430962,1,0,62,0,0
0,0,1,1.152817018,11,0,39,0,0
0,1,0,0.865147445,6,0,22,0,0
0,1,1,1.948474954,11,0,27,0,1
0,1,1,1.9637514,14,1,43,1,0
0,0,1,2.50273679,11,0,51,1,0
0,0,1,1.558282126,15,0,24,0,0
0,1,1,1.121071948,11,1,31,0,0
0,1,1,1.054381686,11,0,35,0,0
0,0,1,0.678816963,4,1,50,0,0
0,0,0,2.146061846,11,0,42,0,0
0,1,1,1.188539048,11,0,19,0,0
0,0,1,2.697707242,11,1,42,0,1
0,0,1,1.663642641,8,0,45,0,0
0,1,1,0.887617523,11,0,18,0,0
0,1,0,1.07277431,13,0,48,1,0
0,0,1,1.088299329,8,1,37,0,0
0,1,0,2.474565358,12,0,57,0,0
0,1,0,1.963741401,11,1,33,1,0
0,0,1,-9.443830215,11,0,35,0,0
0,1,0,-8.933004592,5,1,49,0,0
0,1,1,1.781423177,4,0,47,0,0
0,1,0,0.865142445,5,1,33,0,0
0,1,0,0.865139112,2,1,54,0,0
0,1,1,1.781419844,11,1,25,0,1
0,1,0,0.996172637,4,1,53,0,0
0,0,0,1.27060422,11,1,27,0,0
0,1,1,2.474567024,10,0,20,0,0
0,1,1,1.001272801,4,1,48,0,0
0,0,1,1.329442339,4,0,40,0,0
0,0,1,1.210883703,11,0,26,0,0
0,1,1,1.201608968,3,1,43,0,0
0,0,0,1.019293533,10,1,18,0,0
0,0,1,1.394651313,12,0,37,0,0
0,0,1,1.17529404,0,0,50,0,0
0,0,0,0.682840888,8,1,20,0,0
0,0,1,1.088285996,5,0,31,0,0
0,0,1,1.242430962,11,0,41,0,0
0,1,1,1.104811692,11,1,25,0,0
0,1,0,0.9296818,8,1,47,0,0
0,1,1,1.868432887,11,0,49,0,0
0,1,1,1.350645646,11,1,48,0,0
0,0,1,1.27060422,5,0,40,0,0
0,1,1,2.474568691,11,1,49,0,0
0,0,1,1.088285996,11,0,26,0,0
0,0,1,0.577473706,8,0,42,1,0
0,1,0,1.558280737,7,0,44,0,0
0,1,0,1.781423177,4,0,44,0,0
0,0,1,1.27060422,11,0,22,0,0
0,0,1,1.088285996,9,0,20,0,0
0,0,0,0.769837265,5,0,48,1,0
0,1,1,1.335141699,7,0,46,0,0
0,1,0,0.982927703,6,1,47,0,0
0,1,1,1.088285996,5,1,32,0,0
0,1,1,1.185610469,5,0,31,0,0
0,0,0,0.172025263,8,0,36,1,0
0,1,0,1.088285996,11,1,37,1,0
0,0,0,1.177509325,15,0,41,0,0
0,0,1,0.806650335,9,0,16,0,0
0,1,1,0.172041929,7,0,15,0,0
0,1,1,1.002925949,15,1,43,0,0
0,0,1,0.887617523,11,0,34,0,0
0,0,1,1.001272801,11,0,21,0,0
0,1,1,1.876732448,11,0,29,1,0
0,1,1,1.248699754,11,1,23,0,0
0,0,1,1.270607161,8,1,18,0,0
0,1,1,1.580753593,8,0,39,0,0
0,1,1,2.656885248,12,0,33,0,1
0,1,1,1.558282126,11,1,39,0,0
0,0,0,1.78142151,11,0,47,0,0
0,1,1,0.982927703,4,1,47,0,0
0,0,1,0.590711915,4,1,32,0,0
0,1,1,1.365912885,8,0,26,0,0
0,1,1,1.221817389,5,1,49,0,0
0,1,1,1.686112997,14,0,37,0,0
0,0,1,2.331467206,15,1,40,0,0
0,1,1,1.218606303,10,0,22,0,0
0,0,1,1.093975381,8,0,32,0,0
0,0,1,1.292580953,8,0,16,0,0
0,1,1,4.26632066,15,1,33,0,0
0,1,1,3.167708967,15,0,55,0,0
0,0,1,2.06910025,11,1,50,1,0
0,0,1,1.088282663,11,0,20,0,0
0,0,1,2.186884952,15,0,25,0,0
0,0,1,-9.443830215,11,1,19,0,0
0,0,1,1.221817389,11,1,17,0,0
0,0,1,2.474563691,8,0,51,0,1
0,1,1,2.474563691,8,1,48,0,1
0,0,1,2.474570358,14,0,24,0,0
0,0,0,0.990300294,11,0,43,0,0
0,0,0,1.088284178,11,0,27,0,0
0,0,0,1.270609775,0,0,23,0,0
0,0,1,0.970492961,4,0,52,0,0
0,1,0,1.5200614,11,1,37,0,0
0,0,1,0.63959625,9,0,17,0,0
0,0,1,1.558282126,11,0,46,0,0
0,0,1,1.221814056,4,1,59,0,0
0,0,1,1.580753593,8,0,25,0,0
0,1,1,0.992975817,8,1,22,0,0
0,1,1,0.299848635,6,1,37,0,0
0,0,1,1.062965283,6,0,35,0,0
0,0,1,1.558282126,8,0,20,0,0
0,0,1,1.088285996,5,0,29,0,0
0,0,1,1.676063773,11,0,37,0,0
0,1,1,0.997629876,11,1,32,0,0
0,0,1,1.963743067,9,0,52,0,1
0,0,1,1.329442339,11,1,30,0,0
0,0,1,1.781423177,13,0,23,0,0
0,1,1,0.528683541,8,1,71,1,0
0,1,0,-9.731512288,3,0,65,0,0
0,0,0,1.152817018,0,0,40,0,0
0,0,1,1.221814056,10,0,19,0,0
0,0,1,1.935571,11,0,43,0,0
0,1,1,1.456006161,10,1,35,0,0
0,0,1,1.189642587,6,0,15,0,0
0,0,0,1.545703502,8,0,53,0,0
0,1,1,0.17207526,11,1,44,0,0
0,0,1,1.436584456,11,0,26,0,0
0,1,1,1.375968069,11,1,34,1,0
0,0,1,2.25142514,11,0,39,0,0
0,0,1,1.375960569,11,1,18,0,0
0,1,1,2.312047311,11,0,44,0,0
0,1,1,1.59910162,11,1,42,1,0
0,0,1,1.781422268,9,0,39,0,0
0,0,1,2.474563691,10,0,42,1,0
0,1,1,2.880028799,14,1,41,1,0
0,0,1,1.375960569,7,1,68,0,1
0,1,1,-0.205235637,4,0,57,1,0
0,1,0,0.887617523,11,1,25,0,0
0,0,1,3.072399858,11,0,31,0,0
0,0,1,1.462969446,6,0,42,1,0
0,1,0,1.335143932,8,1,43,0,0
0,0,1,0.987743998,10,0,18,0,0
0,0,1,1.621790724,11,0,39,0,0
0,1,0,1.456006161,13,0,53,0,0
0,0,1,1.001272801,11,0,24,0,0
0,0,1,1.78142151,8,0,49,0,0
0,0,1,1.306969483,11,0,29,0,0
0,1,1,0.90596444,7,1,27,0,0
0,1,1,1.506989489,11,0,45,0,0
